,osm_id,Extra_cost,Number_of_accidents_total,Number_of_casualties_total,Average_severity,Scenario1,Scenario2,Scenario3,Scenario4,Scenario5
0,27099652,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
1,676629456,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
2,4045195,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
3,754177843,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
4,409591110,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
5,153374054,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
6,15748136,0.03,1,2,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
7,30792262,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
8,41291383,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
9,8663018,0.21100000000000002,5,6,2.6,0.30100000000000005,0.4810000000000001,0.901,0.781,1.021
10,612835407,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
11,462948648,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
12,655511825,0.06999999999999999,1,1,2.0,0.16,0.33999999999999997,0.76,0.6399999999999999,0.88
13,31552679,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
14,38426946,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
15,156165950,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
16,8672600,0.08700000000000001,2,5,2.5,0.17700000000000002,0.357,0.7769999999999999,0.657,0.897
17,60204010,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
18,32005244,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
19,189601722,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
20,12158918,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
21,38431146,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
22,24656236,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
23,31550467,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
24,26299030,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
25,32939057,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
26,248629262,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
27,32036667,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
28,38665773,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
29,469744202,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
30,38662314,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
31,40430789,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
32,24514366,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
33,142050635,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
34,710572565,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
35,31289758,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
36,420366545,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
37,154868192,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
38,27567737,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
39,23099307,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
40,551947203,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
41,25456389,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
42,4215759,0.123,3,5,2.6666666666666665,0.213,0.393,0.813,0.693,0.933
43,30800289,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
44,23035691,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
45,5066500,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
46,153805710,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
47,13233221,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
48,156163451,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
49,155120920,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
50,694499364,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
51,24479578,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
52,4433502,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
53,474912976,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
54,39270433,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
55,153980412,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
56,249973331,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
57,288808362,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
58,32550396,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
59,31823721,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
60,218390420,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
61,191811275,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
62,30793167,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
63,733168931,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
64,339836794,0.126,2,2,2.0,0.216,0.396,0.8160000000000001,0.696,0.9359999999999999
65,533674413,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
66,140441464,0.134,4,7,2.75,0.224,0.404,0.8240000000000001,0.704,0.944
67,23085899,0.03,1,1,3.0,0.12,0.30000000000000004,0.72,0.6,0.84
68,109230579,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
69,30820557,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
70,42267336,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
71,189720280,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
72,438324119,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
73,38430703,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
74,38658011,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
75,486389662,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
76,31435327,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
77,24493076,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
78,37434193,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
79,12137649,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
80,23082369,0.0,0,0,0.0,0.09,0.27,0.69,0.57,0.81
81,5098611,0.024000000000000004,1,1,3.0,0.114,0.29400000000000004,0.714,0.594,0.8340000000000001
