id,Longitude,Latitude,Accident_Severity,Light_Conditions,Weather_Conditions,Road_Surface_Conditions
0,-2.975797,53.401901,3,4,1,1
1,-2.995949,53.406948,3,4,5,2
2,-2.973865,53.393035999999995,3,1,1,2
3,-2.898174,53.455651,2,4,5,2
4,-2.9827209999999997,53.406689,3,1,1,1
5,-2.931517,53.410201,3,1,1,1
6,-2.892002,53.394672,3,1,1,1
7,-2.9786349999999997,53.424645999999996,3,4,2,2
8,-2.953738,53.425073,3,4,1,1
9,-2.9945150000000003,53.430592000000004,3,1,1,1
10,-2.87117,53.420218999999996,3,1,1,4
11,-2.954312,53.403639,2,4,1,1
12,-2.936788,53.370087,2,4,1,1
13,-2.957297,53.387884,2,4,1,2
14,-2.9659590000000002,53.447697999999995,3,1,9,1
15,-2.839025,53.399407,2,1,1,1
16,-2.967804,53.396339000000005,3,1,1,1
17,-2.973418,53.432779000000004,3,1,1,1
18,-2.891907,53.414565,3,1,1,2
19,-2.885189,53.419281000000005,2,4,2,2
20,-2.97242,53.444444999999995,3,1,1,2
21,-2.864473,53.358605000000004,3,4,2,2
22,-2.8498349999999997,53.349396999999996,3,7,2,2
23,-2.953044,53.464034999999996,3,1,4,1
24,-2.865736,53.374191,2,4,1,1
25,-2.981529,53.390861,2,4,1,1
26,-2.838172,53.346818999999996,3,1,1,1
27,-2.958767,53.463989,3,4,2,3
28,-2.897309,53.456763,3,1,2,1
29,-2.956788,53.420157999999994,2,4,1,1
30,-2.905249,53.427868000000004,3,1,1,1
31,-2.880138,53.3488,3,1,1,1
32,-2.955861,53.403653000000006,3,4,1,1
33,-2.87281,53.39085,3,1,1,1
34,-2.892447,53.354110999999996,3,1,1,1
35,-2.9364310000000002,53.450396,3,4,1,1
36,-2.908024,53.361751,3,1,1,1
37,-2.898843,53.396733999999995,3,1,1,1
38,-2.854436,53.35634,3,4,8,1
39,-2.88049,53.362209,3,1,1,1
40,-2.943184,53.388805000000005,3,1,1,2
41,-2.8703990000000004,53.413430000000005,2,1,1,1
42,-2.896928,53.456542000000006,2,1,2,2
43,-2.948502,53.398076,3,1,4,1
44,-2.8328130000000002,53.340833999999994,3,1,1,1
45,-2.952251,53.417777,2,1,1,1
46,-2.931644,53.443583999999994,3,4,1,2
47,-2.928583,53.397064,3,1,2,2
48,-2.8566529999999997,53.362005,3,4,1,1
49,-2.962065,53.402623999999996,3,1,1,1
50,-2.85602,53.391132999999996,3,1,1,2
51,-2.981048,53.407881,3,1,1,1
52,-2.97327,53.401904,3,1,1,1
53,-2.954266,53.465437,3,1,1,1
54,-2.901296,53.375439,3,1,1,1
55,-2.96179,53.385062,3,4,2,2
56,-2.891705,53.434378,3,1,1,4
57,-2.975971,53.417396,3,1,1,1
58,-2.902838,53.391507999999995,2,4,1,2
59,-2.930437,53.390388,3,1,1,1
60,-2.980572,53.404855000000005,3,1,1,1
61,-2.983462,53.403618,2,4,1,2
62,-2.9478880000000003,53.426602,3,4,1,1
63,-2.941289,53.44466800000001,3,1,1,1
64,-2.9828240000000004,53.409862,3,4,1,2
65,-2.896242,53.462578,2,4,2,2
66,-2.963988,53.403183999999996,3,4,2,2
67,-2.928261,53.389866000000005,3,4,2,2
68,-2.865934,53.349875,3,1,1,2
69,-2.88115,53.419706000000005,2,1,1,1
70,-2.898889,53.401749,3,4,1,1
71,-2.940786,53.422587,3,4,1,1
72,-2.961852,53.393142000000005,3,4,2,2
73,-2.954242,53.42808,3,1,2,2
74,-2.960495,53.462438,2,1,1,2
75,-2.976435,53.411379000000004,3,4,1,1
76,-2.868067,53.349858999999995,3,1,1,1
77,-2.9251549999999997,53.375643000000004,2,1,1,1
78,-2.9308680000000003,53.39701899999999,3,7,1,2
79,-2.9621060000000003,53.40310899999999,3,1,1,1
80,-2.901617,53.428362,2,4,2,2
81,-2.929125,53.37364300000001,3,4,4,1
82,-2.948136,53.409342,3,1,1,1
83,-2.981034,53.407899,3,1,1,2
84,-2.993938,53.405221,1,4,4,1
85,-2.9495400000000003,53.389285,3,4,1,1
86,-2.880471,53.348932999999995,3,1,1,1
87,-2.987978,53.399885999999995,3,1,1,1
88,-2.917503,53.40985,2,1,1,1
89,-2.886616,53.380088,3,1,1,2
90,-2.981338,53.40738399999999,3,4,1,1
91,-2.971403,53.438162,3,1,1,1
92,-2.924181,53.41530899999999,2,4,1,2
93,-2.936516,53.397397,3,1,1,1
94,-2.9497169999999997,53.398579000000005,3,4,2,2
95,-2.909792,53.388291,3,4,1,1
96,-2.909577,53.414163,3,1,1,1
97,-2.967285,53.391346,3,1,2,2
98,-2.9704479999999998,53.456362,3,1,1,1
99,-2.967406,53.448423,2,4,1,1
100,-2.885386,53.419323999999996,3,1,1,1
101,-2.853771,53.35541,3,4,1,1
102,-2.956498,53.442785,3,4,1,1
103,-2.970463,53.401513,3,1,1,1
104,-2.94821,53.438375,3,1,1,1
105,-2.859544,53.343656,3,1,1,1
106,-2.940473,53.439748,3,1,1,1
107,-2.973619,53.439618,3,1,1,1
108,-2.978366,53.421448999999996,3,4,1,1
109,-2.9503909999999998,53.445692,3,4,1,1
110,-2.948075,53.386987,3,1,1,1
111,-2.986914,53.399392000000006,3,1,9,-1
112,-2.852032,53.39024499999999,3,1,1,1
113,-2.916457,53.436052000000004,3,1,3,3
114,-2.999657,53.425227,2,4,1,1
115,-2.905484,53.442491000000004,3,1,1,1
116,-2.9130540000000003,53.438811,3,1,1,1
117,-2.984341,53.426047,3,1,3,2
118,-2.902923,53.35575,3,4,4,1
119,-2.949554,53.389249,3,1,1,1
120,-2.892934,53.422639000000004,2,1,3,2
121,-2.9594869999999998,53.443112,3,1,1,1
122,-2.981992,53.441023,2,1,1,1
123,-2.905265,53.370501000000004,3,1,4,1
124,-2.9542740000000003,53.412026000000004,2,1,1,1
125,-2.926828,53.400034999999995,3,4,1,1
126,-2.93992,53.441991,3,1,1,1
127,-2.928782,53.38135,2,1,1,1
128,-2.974128,53.401951000000004,3,1,1,1
129,-2.949855,53.39668100000001,2,4,1,1
130,-2.9504799999999998,53.44161999999999,3,1,1,1
131,-2.921507,53.429424,3,4,1,2
132,-2.94968,53.397608,3,1,3,3
133,-2.973327,53.43075699999999,3,1,3,4
134,-2.9548389999999998,53.411742000000004,3,1,1,1
135,-2.913364,53.43853000000001,3,1,1,1
