;;31.12.2013;31.12.2014;31.12.2015;31.12.2016;31.12.2017
01001;Flensburg, kreisfreie Stadt;83971;84694;85942;87432;88519
01002;Kiel, kreisfreie Stadt;241533;243148;246306;247441;247943
01003;Lübeck, kreisfreie Stadt;212958;214420;216253;216712;216318
01004;Neumünster, kreisfreie Stadt;77058;77588;79197;79680;79335
01051;Dithmarschen, Landkreis;132665;132685;132917;133560;133447
01053;Herzogtum Lauenburg, Landkreis;189043;190703;192999;195063;196074
01054;Nordfriesland, Landkreis;161923;162203;163960;164926;165462
01055;Ostholstein, Landkreis;197835;198355;199574;200813;200584
01056;Pinneberg, Landkreis;301223;304087;307471;310653;312662
01057;Plön, Landkreis;126643;126865;128304;128703;128842
01058;Rendsburg-Eckernförde, Landkreis;268075;268628;270378;272337;273022
01059;Schleswig-Flensburg, Landkreis;195135;195593;196839;198685;199503
01060;Segeberg, Landkreis;263202;264972;267503;272235;274025
01061;Steinburg, Landkreis;130017;130218;131457;131875;131613
01062;Stormarn, Landkreis;234674;236705;239614;241811;242472
02000;Hamburg, kreisfreie Stadt;1746342;1762791;1787408;1810438;1830584
03101;Braunschweig, kreisfreie Stadt;247227;248502;251364;248667;248023
03102;Salzgitter, kreisfreie Stadt;98197;98966;101079;103668;104548
03103;Wolfsburg, kreisfreie Stadt;122457;123027;124045;123909;123914
03151;Gifhorn, Landkreis;171475;172541;174205;174749;175079
03152;Göttingen, Landkreis (bis 31.10.2016);248249;250220;255653;-;-
03153;Goslar, Landkreis;137833;137256;138236;137979;137563
03154;Helmstedt, Landkreis;90423;90908;91500;92079;91720
03155;Northeim, Landkreis;134661;133905;134896;133610;133046
03156;Osterode am Harz, Landkreis (bis 31.10.2016);74367;73793;73885;-;-
03157;Peine, Landkreis;130147;130601;132320;132979;133368
03158;Wolfenbüttel, Landkreis;119900;120035;120981;120904;120437
03159;Göttingen, Landkreis;-;-;-;327065;328036
03201;Hannover, kreisfreie Stadt (bis 31.10.2001);-;-;-;-;-
03241;Region Hannover, Landkreis;1119526;1128037;1144481;1148700;1152675
03251;Diepholz, Landkreis;209955;211093;213976;215082;216012
03252;Hameln-Pyrmont, Landkreis;147755;147813;148281;148265;148296
03253;Hannover, Landkreis (bis 31.10.2001);-;-;-;-;-
03254;Hildesheim, Landkreis;274519;274554;277055;277300;276640
03255;Holzminden, Landkreis;71877;71438;71659;71510;71144
03256;Nienburg (Weser), Landkreis;119848;119631;120632;121503;121470
03257;Schaumburg, Landkreis;155599;155847;156206;157616;157883
03351;Celle, Landkreis;175552;176157;177971;178370;178764
03352;Cuxhaven, Landkreis;196607;196787;198103;198670;198100
03353;Harburg, Landkreis;242871;245199;248122;250326;251511
03354;Lüchow-Dannenberg, Landkreis;48670;48728;50128;48825;48357
03355;Lüneburg, Landkreis;176727;178122;180719;181605;182930
03356;Osterholz, Landkreis;110882;111484;113579;112695;113105
03357;Rotenburg (Wümme), Landkreis;161308;161842;163253;163372;163377
03358;Heidekreis;136251;136200;140264;139641;139099
03359;Stade, Landkreis;196516;197448;200054;201638;201887
03360;Uelzen, Landkreis;92356;92533;93131;92961;92744
03361;Verden, Landkreis;132459;133215;134645;135842;136590
03401;Delmenhorst, kreisfreie Stadt;74052;74804;76323;77045;77521
03402;Emden, kreisfreie Stadt;49790;50016;50694;50486;50607
03403;Oldenburg (Oldenburg), kreisfreie Stadt;159610;160907;163830;165711;167081
03404;Osnabrück, kreisfreie Stadt;156315;156897;162403;164070;164374
03405;Wilhelmshaven, kreisfreie Stadt;75728;75534;75995;76201;76316
03451;Ammerland, Landkreis;118865;119917;121435;122698;123377
03452;Aurich, Landkreis;187058;187998;189199;190066;189949
03453;Cloppenburg, Landkreis;160176;162350;164734;165930;167925
03454;Emsland, Landkreis;313689;315757;319488;321391;323636
03455;Friesland, Landkreis;97093;96937;97900;98409;98509
03456;Grafschaft Bentheim, Landkreis;133678;134329;135662;135770;135859
03457;Leer, Landkreis;164792;165809;167548;168253;168946
03458;Oldenburg, Landkreis;125778;126798;128608;129484;129924
03459;Osnabrück, Landkreis;350302;351316;358079;354807;356140
03460;Vechta, Landkreis;134188;136184;137866;139671;140540
03461;Wesermarsch, Landkreis;88831;88765;89239;89282;89022
03462;Wittmund, Landkreis;56400;56539;57173;56881;56731
04011;Bremen, kreisfreie Stadt;548547;551767;557464;565719;568006
04012;Bremerhaven, kreisfreie Stadt;108844;110121;114025;113034;113026
05111;Düsseldorf, kreisfreie Stadt;598686;604527;612178;613230;617280
05112;Duisburg, kreisfreie Stadt;486855;485465;491231;499845;498110
05113;Essen, kreisfreie Stadt;569884;573784;582624;583084;583393
05114;Krefeld, kreisfreie Stadt;222058;222500;225144;226812;226699
05116;Mönchengladbach, kreisfreie Stadt;255430;256853;259996;260925;262188
05117;Mülheim an der Ruhr, kreisfreie Stadt;166640;167108;169278;170936;171265
05119;Oberhausen, kreisfreie Stadt;209097;209292;210934;211382;211422
05120;Remscheid, kreisfreie Stadt;108955;109009;109499;110611;110584
05122;Solingen, kreisfreie Stadt;155768;156771;158726;158908;158803
05124;Wuppertal, kreisfreie Stadt;343488;345425;350046;352390;353590
05154;Kleve, Landkreis;302698;304963;310337;310329;311270
05158;Mettmann, Landkreis;476633;477760;483279;484770;485409
05162;Rhein-Kreis Neuss;440602;442522;450026;447431;449408
05166;Viersen, Landkreis;294921;295067;297661;298422;298733
05170;Wesel, Landkreis;457033;457244;462664;461715;460666
05313;Aachen, kreisfreie Stadt (bis 20.10.2009);-;-;-;-;-
05314;Bonn, kreisfreie Stadt;311287;313958;318809;322125;325490
05315;Köln, kreisfreie Stadt;1034175;1046680;1060582;1075935;1080394
05316;Leverkusen, kreisfreie Stadt;160819;161540;163487;163113;163577
05334;Städteregion Aachen, Landkreis;545067;547661;553922;552472;554068
05354;Aachen, Landkreis (bis 20.10.2009);-;-;-;-;-
05358;Düren, Landkreis;258385;259073;262828;262072;262889
05362;Rhein-Erft-Kreis;456602;459448;466657;465549;467209
05366;Euskirchen, Landkreis;187437;188158;191165;191202;192127
05370;Heinsberg, Landkreis;248233;249310;252527;252651;253106
05374;Oberbergischer Kreis;270290;270618;273452;273139;272968
05378;Rheinisch-Bergischer Kreis;278440;279497;282729;283304;283344
05382;Rhein-Sieg-Kreis;582280;585781;596213;597854;599056
05512;Bottrop, kreisfreie Stadt;116055;116017;117143;117409;117364
05513;Gelsenkirchen, kreisfreie Stadt;257850;257651;260368;262528;260305
05515;Münster, kreisfreie Stadt;299708;302178;310039;311846;313559
